0.000000 1.000000     2.000000     3.000000
0.020000 1.200000     2.460000     2.880400
0.040000 1.452000     3.013670     2.786203
0.060000 1.764334     3.685606     2.725494
0.080000 2.148588     4.503747     2.710550
0.100000 2.619620     5.500404     2.759883
0.120000 3.195777     6.712787     2.901237
0.140000 3.899179     8.182732     3.175942
0.160000 4.755890     9.954946     3.645101
0.180000 5.795701     12.072431     4.398074
0.200000 7.051047     14.566777     5.563460
0.220000 8.554193     17.439463     7.321705
0.240000 10.331247     20.628397     9.915801
0.260000 12.390677     23.952475     13.650622
0.280000 14.703037     27.029396     18.860156
0.300000 17.168308     29.176477     25.805080
0.320000 19.569942     29.346609     34.450465
0.340000 21.525276     26.234972     44.103929
0.360000 22.467215     18.777443     53.051900
0.380000 21.729261     7.144965     58.667076
0.400000 18.812402     -6.325392     58.651084
0.420000 13.784843     -17.731294     53.150930
0.440000 7.481616     -24.310700     45.434839
0.460000 1.123152     -26.433301     39.380039
0.480000 -4.388138     -26.160266     36.691248
0.500000 -8.742564     -24.874292     37.035171
0.520000 -11.968910     -22.796995     39.414202
0.540000 -14.134527     -19.608744     42.774470
0.560000 -15.229370     -15.039967     46.042074
0.580000 -15.191490     -9.243779     48.173621
0.600000 -14.001947     -2.929556     48.419319
0.620000 -11.787469     2.847239     46.663801
0.640000 -8.860527     7.190274     43.510052
0.660000 -5.650367     9.795014     39.921125
0.680000 -2.561291     10.946288     36.690413
0.700000 0.140225     11.172536     34.177750
0.720000 2.346687     10.931760     32.390827
0.740000 4.063702     10.507047     31.180704
0.760000 5.352371     10.038397     30.375840
0.780000 6.289576     9.583301     29.834430
0.800000 6.948321     9.160880     29.452736
0.820000 7.390833     8.775781     29.158905
0.840000 7.667822     8.428959     28.904858
0.860000 7.820050     8.121614     28.659755
0.880000 7.880363     7.855996     28.405285
0.900000 7.875489     7.635000     28.132285
0.920000 7.827391     7.461464     27.838235
0.940000 7.754206     7.337559     27.525317
0.960000 7.670877     7.264423     27.198909
0.980000 7.589586     7.242036     26.866417
1.000000 7.520076     7.269264     26.536404
1.020000 7.469914     7.344006     26.217976
1.040000 7.444732     7.463357     25.920362
1.060000 7.448457     7.623737     25.652652
1.080000 7.483513     7.820944     25.423633
1.100000 7.550999     8.050131     25.241658
1.120000 7.650826     8.305693     25.114533
1.140000 7.781799     8.581104     25.049348
1.160000 7.941660     8.868709     25.052251
1.180000 8.127070     9.159535     25.128117
1.200000 8.333563     9.443145     25.280104
1.220000 8.555479     9.707610     25.509104
1.240000 8.785905     9.939674     25.813085
1.260000 9.016659     10.125161     26.186409
1.280000 9.238360     10.249709     26.619195
1.300000 9.440629     10.299842     27.096864
1.320000 9.612472     10.264369     27.600050
1.340000 9.742851     10.135971     28.105047
1.360000 9.821475     9.912783     28.584924
1.380000 9.839737     9.599631     29.011369
1.400000 9.791716     9.208606     29.357121
1.420000 9.675094     8.758663     29.598683
1.440000 9.491808     8.274142     29.718851
1.460000 9.248275     7.782359     29.708539
1.480000 8.955092     7.310691     29.567513
1.500000 8.626211     6.883733     29.303879
1.520000 8.277716     6.521107     28.932524
1.540000 7.926394     6.236302     28.472911
1.560000 7.588376     6.036606     27.946780
1.580000 7.278022     5.923951     27.376172
1.600000 7.007208     5.896277     26.782052
1.620000 6.785022     5.949040     26.183576
1.640000 6.617825     6.076548     25.597897
1.660000 6.509570     6.272951     25.040360
1.680000 6.462246     6.532812     24.524897
1.700000 6.476359     6.851295     24.064505
1.720000 6.551346     7.224023     23.671702
1.740000 6.685882     7.646666     23.358909
1.760000 6.878039     8.114328     23.138709
1.780000 7.125297     8.620765     23.023943
1.800000 7.424390     9.157467     23.027580
1.820000 7.771006     9.712661     23.162285
1.840000 8.159337     10.270286     23.439594
1.860000 8.581527     10.809078     23.868582
1.880000 9.027037     11.301974     24.453941
1.900000 9.482025     11.716143     25.193459
1.920000 9.928848     12.014054     26.075022
1.940000 10.345889     12.156029     27.073545
1.960000 10.707917     12.104609     28.148531
1.980000 10.987256     11.830707     29.243332
2.000000 11.155946     11.320877     30.287327
2.020000 11.188932     10.584114     31.201943
2.040000 11.067968     9.655905     31.910498
2.060000 10.785556     8.597161     32.350285
2.080000 10.347877     7.486813     32.483753
2.100000 9.775664     6.409131     32.305070
2.120000 9.102357     5.439250     31.839510
2.140000 8.369736     4.631493     31.135848
2.160000 7.622087     4.013939     30.254708
2.180000 6.900458     3.589948     29.257050
2.200000 6.238356     3.344665     28.196020
2.220000 5.659618     3.253315     27.113296
2.240000 5.178357     3.288616     26.039119
2.260000 4.800409     3.425927     24.994431
2.280000 4.525512     3.645968     23.993644
2.300000 4.349603     3.935665     23.047180
2.320000 4.266816     4.287807     22.163441
2.340000 4.271014     4.700122     21.350252
2.360000 4.356836     5.174143     20.615904
2.380000 4.520297     5.714086     19.969996
2.400000 4.759055     6.325764     19.424179
2.420000 5.072396     7.015505     18.992906
2.440000 5.461018     7.788946     18.694192
2.460000 5.926604     8.649550     18.550372
2.480000 6.471193     9.596643     18.588742
2.500000 7.096283     10.622752     18.841855
2.520000 7.801577     11.710073     19.347110
2.540000 8.583276     12.825995     20.144984
2.560000 9.431820     13.917910     21.275052
2.580000 10.329038     14.908122     22.768643
2.600000 11.244855     15.690657     24.637083
2.620000 12.134015     16.133154     26.855173
2.640000 12.933843     16.088318     29.341677
2.660000 13.564738     15.419491     31.942375
2.680000 13.935689     14.041556     34.426268
2.700000 13.956862     11.969635     36.508366
2.720000 13.559417     9.355241     37.907291
2.740000 12.718581     6.481394     38.427656
2.760000 11.471144     3.699266     38.031987
2.780000 9.916768     1.323714     36.857382
2.800000 8.198157     -0.459493     35.159108
2.820000 6.466627     -1.624133     33.213304
2.840000 4.848475     -2.265900     31.236303
2.860000 3.425600     -2.534405     29.354808
2.880000 2.233599     -2.576537     27.619495
2.900000 1.271572     -2.508009     26.035039
2.920000 0.515656     -2.407877     24.586193
2.940000 -0.069051     -2.324512     23.253375
2.960000 -0.520143     -2.284577     22.019505
2.980000 -0.873030     -2.301100     20.871834
3.000000 -1.158644     -2.379540     19.801631
3.020000 -1.402823     -2.521929     18.803325
3.040000 -1.626644     -2.729516     17.873744
3.060000 -1.847219     -3.004362     17.011660
3.080000 -2.078647     -3.350232     16.217634
3.100000 -2.332964     -3.773055     15.494135
3.120000 -2.620982     -4.281109     14.845895
