0.000000 0.020000	1.999600
0.010000 0.039996	1.999000
0.020000 0.059986	1.998200
0.030000 0.079968	1.997201
0.040000 0.099940	1.996003
0.050000 0.119900	1.994606
0.060000 0.139846	1.993011
0.070000 0.159776	1.991219
0.080000 0.179688	1.989229
0.090000 0.199581	1.987044
0.100000 0.219451	1.984664
0.110000 0.239298	1.982090
0.120000 0.259119	1.979324
0.130000 0.278912	1.976366
0.140000 0.298676	1.973217
0.150000 0.318408	1.969880
0.160000 0.338107	1.966356
0.170000 0.357770	1.962645
0.180000 0.377397	1.958751
0.190000 0.396984	1.954674
0.200000 0.416531	1.950417
0.210000 0.436035	1.945981
0.220000 0.455495	1.941368
0.230000 0.474908	1.936581
0.240000 0.494274	1.931621
0.250000 0.513590	1.926491
0.260000 0.532855	1.921192
0.270000 0.552067	1.915728
0.280000 0.571225	1.910100
0.290000 0.590326	1.904312
0.300000 0.609369	1.898365
0.310000 0.628352	1.892261
0.320000 0.647275	1.886005
0.330000 0.666135	1.879597
0.340000 0.684931	1.873042
0.350000 0.703661	1.866341
0.360000 0.722325	1.859498
0.370000 0.740920	1.852515
0.380000 0.759445	1.845394
0.390000 0.777899	1.838140
0.400000 0.796280	1.830755
0.410000 0.814588	1.823241
0.420000 0.832820	1.815602
0.430000 0.850976	1.807840
0.440000 0.869055	1.799960
0.450000 0.887054	1.791962
0.460000 0.904974	1.783852
0.470000 0.922812	1.775631
0.480000 0.940569	1.767303
0.490000 0.958242	1.758871
0.500000 0.975830	1.750337
0.510000 0.993334	1.741705
0.520000 1.010751	1.732978
0.530000 1.028081	1.724159
0.540000 1.045322	1.715252
0.550000 1.062475	1.706258
0.560000 1.079537	1.697181
0.570000 1.096509	1.688024
0.580000 1.113389	1.678790
0.590000 1.130177	1.669482
0.600000 1.146872	1.660104
0.610000 1.163473	1.650657
0.620000 1.179980	1.641145
0.630000 1.196391	1.631571
0.640000 1.212707	1.621937
0.650000 1.228926	1.612247
0.660000 1.245049	1.602503
0.670000 1.261074	1.592709
0.680000 1.277001	1.582866
0.690000 1.292829	1.572978
0.700000 1.308559	1.563047
0.710000 1.324190	1.553076
