1.110000 1.675430     0.870210	2.175430	1.370210
1.120000 1.684132     0.858525	2.184132	1.358525
1.130000 1.692717     0.846872	2.192717	1.346872
1.140000 1.701186     0.835252	2.201186	1.335252
1.150000 1.709539     0.823667	2.209539	1.323667
1.160000 1.717775     0.812115	2.217775	1.312115
1.170000 1.725896     0.800599	2.225896	1.300599
1.180000 1.733902     0.789118	2.233902	1.289118
1.190000 1.741794     0.777672	2.241794	1.277672
1.200000 1.749570     0.766263	2.249570	1.266263
1.210000 1.757233     0.754890	2.257233	1.254890
1.220000 1.764782     0.743553	2.264782	1.243553
1.230000 1.772217     0.732254	2.272217	1.232254
1.240000 1.779540     0.720991	2.279540	1.220991
1.250000 1.786750     0.709766	2.286750	1.209766
1.260000 1.793848     0.698579	2.293848	1.198579
1.270000 1.800833     0.687430	2.300833	1.187430
1.280000 1.807708     0.676318	2.307708	1.176318
1.290000 1.814471     0.665245	2.314471	1.165245
1.300000 1.821123     0.654210	2.321123	1.154210
1.310000 1.827665     0.643213	2.327665	1.143213
1.320000 1.834097     0.632255	2.334097	1.132255
1.330000 1.840420     0.621335	2.340420	1.121335
1.340000 1.846633     0.610453	2.346633	1.110453
1.350000 1.852738     0.599611	2.352738	1.099611
1.360000 1.858734     0.588806	2.358734	1.088806
1.370000 1.864622     0.578040	2.364622	1.078040
1.380000 1.870402     0.567313	2.370402	1.067313
1.390000 1.876076     0.556624	2.376076	1.056624
1.400000 1.881642     0.545973	2.381642	1.045973
1.410000 1.887102     0.535360	2.387102	1.035360
1.420000 1.892455     0.524785	2.392455	1.024785
1.430000 1.897703     0.514249	2.397703	1.014249
1.440000 1.902846     0.503750	2.402846	1.003750
1.450000 1.907883     0.493289	2.407883	0.993289
1.460000 1.912816     0.482865	2.412816	0.982865
1.470000 1.917645     0.472478	2.417645	0.972478
1.480000 1.922369     0.462129	2.422369	0.962129
1.490000 1.926991     0.451816	2.426991	0.951816
1.500000 1.931509     0.441540	2.431509	0.941540
1.510000 1.935924     0.431301	2.435924	0.931301
1.520000 1.940237     0.421097	2.440237	0.921097
1.530000 1.944448     0.410930	2.444448	0.910930
1.540000 1.948557     0.400798	2.448557	0.900798
1.550000 1.952565     0.390701	2.452565	0.890701
1.560000 1.956472     0.380640	2.456472	0.880640
1.570000 1.960279     0.370613	2.460279	0.870613
1.580000 1.963985     0.360621	2.463985	0.860621
1.590000 1.967591     0.350663	2.467591	0.850663
1.600000 1.971098     0.340738	2.471098	0.840738
1.610000 1.974505     0.330848	2.474505	0.830848
1.620000 1.977814     0.320990	2.477814	0.820990
1.630000 1.981024     0.311165	2.481024	0.811165
1.640000 1.984135     0.301372	2.484135	0.801372
1.650000 1.987149     0.291611	2.487149	0.791611
1.660000 1.990065     0.281883	2.490065	0.781883
1.670000 1.992884     0.272185	2.492884	0.772185
1.680000 1.995606     0.262518	2.495606	0.762518
1.690000 1.998231     0.252882	2.498231	0.752882
1.700000 2.000760     0.243276	2.500760	0.743276
1.710000 2.003192     0.233700	2.503192	0.733700
1.720000 2.005529     0.224152	2.505529	0.724152
1.730000 2.007771     0.214634	2.507771	0.714634
1.740000 2.009917     0.205145	2.509917	0.705145
1.750000 2.011969     0.195683	2.511969	0.695683
1.760000 2.013926     0.186249	2.513926	0.686249
1.770000 2.015788     0.176843	2.515788	0.676843
1.780000 2.017557     0.167463	2.517557	0.667463
1.790000 2.019231     0.158109	2.519231	0.658109
1.800000 2.020812     0.148782	2.520812	0.648782
1.810000 2.022300     0.139480	2.522300	0.639480
1.820000 2.023695     0.130203	2.523695	0.630203
