0.000000 10.000000     23.000000	-5.980000	10.500000	23.500000	-5.480000
0.010000 1.100000     2.230000	2.940200	1.600000	2.730000	3.440200
0.020000 1.213000     2.483358	2.886521	1.713000	2.983358	3.386521
0.030000 1.340036     2.763151	2.839862	1.840036	3.263151	3.339862
0.040000 1.482347     3.072674	2.801349	1.982347	3.572674	3.301349
0.050000 1.641380     3.415479	2.772381	2.141380	3.915479	3.272381
0.060000 1.818790     3.795405	2.754697	2.318790	4.295405	3.254697
0.070000 2.016451     4.216610	2.750452	2.516451	4.716610	3.250452
0.080000 2.236467     4.683589	2.762316	2.736467	5.183589	3.262316
0.090000 2.481179     5.201185	2.793585	2.981179	5.701185	3.293585
0.100000 2.753180     5.774590	2.848327	3.253180	6.274590	3.348327
0.110000 3.055321     6.409315	2.931546	3.555321	6.909315	3.431546
0.120000 3.390720     7.111144	3.049392	3.890720	7.611144	3.549392
0.130000 3.762763     7.886037	3.209397	4.262763	8.386037	3.709397
0.140000 4.175090     8.739989	3.420760	4.675090	9.239989	3.920760
0.150000 4.631580     9.678794	3.694670	5.131580	10.178794	4.194670
0.160000 5.136301     10.707727	4.044673	5.636301	11.207727	4.544673
0.170000 5.693444     11.831068	4.487066	6.193444	12.331068	4.987066
0.180000 6.307206     13.051453	5.041305	6.807206	13.551453	5.541305
0.190000 6.981631     14.368990	5.730389	7.481631	14.868990	6.230389
0.200000 7.720367     15.780082	6.581150	8.220367	16.280082	7.081150
0.210000 8.526338     17.275895	7.624372	9.026338	17.775895	8.124372
0.220000 9.401294     18.840432	8.894565	9.901294	19.340432	9.394565
0.230000 10.345208     20.448185	10.429214	10.845208	20.948185	10.929214
0.240000 11.355506     22.061438	12.267204	11.855506	22.561438	12.767204
0.250000 12.426099     23.627362	14.446084	12.926099	24.127362	14.946084
0.260000 13.546225     25.075311	16.997778	14.046225	25.575311	17.497778
0.270000 14.699134     26.314944	19.942395	15.199134	26.814944	20.442395
0.280000 15.860715     27.236193	23.279996	16.360715	27.736193	23.779996
0.290000 16.998263     27.712457	26.980603	17.498263	28.212457	27.480603
0.300000 18.069682     27.608612	30.973555	18.569682	28.108612	31.473555
0.310000 19.023575     26.795214	35.138447	19.523575	27.295214	35.638447
0.320000 19.800739     25.169274	39.301172	20.300739	25.669274	39.801172
0.330000 20.337593     22.679866	43.239463	20.837593	23.179866	43.739463
0.340000 20.571820     19.353727	46.701832	21.071820	19.853727	47.201832
0.350000 20.450011     15.312883	49.440978	20.950011	15.812883	49.940978
0.360000 19.936298     10.775072	51.257334	20.436298	11.275072	51.757334
0.370000 19.020175     6.030670	52.042039	19.520175	6.530670	52.542039
0.380000 17.721225     1.397525	51.804765	18.221225	1.897525	52.304765
0.390000 16.088855     -2.834946	50.674416	16.588855	-2.334946	51.174416
0.400000 14.196475     -6.454650	48.870367	14.696475	-5.954650	49.370367
0.410000 12.131362     -9.352960	46.654082	12.631362	-8.852960	47.154082
0.420000 9.982930     -11.522425	44.278442	10.482930	-11.022425	44.778442
0.430000 7.832394     -13.032266	41.950360	8.332394	-12.532266	42.450360
0.440000 5.745928     -13.994591	39.813742	6.245928	-13.494591	40.313742
0.450000 3.771876     -14.533454	37.950577	4.271876	-14.033454	38.450577
0.460000 1.941343     -14.763443	36.392908	2.441343	-14.263443	36.892908
0.470000 0.270865     -14.778744	35.138247	0.770865	-14.278744	35.638247
0.480000 -1.234096     -14.650291	34.163540	-0.734096	-14.150291	34.663540
0.490000 -2.575716     -14.427724	33.435588	-2.075716	-13.927724	33.935588
0.500000 -3.760916     -14.143442	32.917819	-3.260916	-13.643442	33.417819
0.510000 -4.799169     -13.817052	32.574128	-4.299169	-13.317052	33.074128
0.520000 -5.700957     -13.459362	32.370760	-5.200957	-12.959362	32.870760
0.530000 -6.476798     -13.075593	32.277010	-5.976798	-12.575593	32.777010
0.540000 -7.136677     -12.667824	32.265321	-6.636677	-12.167824	32.765321
0.550000 -7.689792     -12.236743	32.311125	-7.189792	-11.736743	32.811125
0.560000 -8.144487     -11.782859	32.392629	-7.644487	-11.282859	32.892629
0.570000 -8.508324     -11.307274	32.490639	-8.008324	-10.807274	32.990639
0.580000 -8.788219     -10.812123	32.588447	-8.288219	-10.312123	33.088447
0.590000 -8.990609     -10.300759	32.671788	-8.490609	-9.800759	33.171788
0.600000 -9.121624     -9.777729	32.728819	-8.621624	-9.277729	33.228819
0.610000 -9.187235     -9.248606	32.750120	-8.687235	-8.748606	33.250120
0.620000 -9.193372     -8.719716	32.728658	-8.693372	-8.219716	33.228658
0.630000 -9.146006     -8.197795	32.659712	-8.646006	-7.697795	33.159712
0.640000 -9.051185     -7.689640	32.540734	-8.551185	-7.189640	33.040734
0.650000 -8.915031     -7.201753	32.371154	-8.415031	-6.701753	32.871154
0.660000 -8.743703     -6.740046	32.152120	-8.243703	-6.240046	32.652120
0.670000 -8.543337     -6.309596	31.886203	-8.043337	-5.809596	32.386203
0.680000 -8.319963     -5.914489	31.577080	-7.819963	-5.414489	32.077080
0.690000 -8.079416     -5.557732	31.229213	-7.579416	-5.057732	31.729213
0.700000 -7.827247     -5.241253	30.847549	-7.327247	-4.741253	31.347549
0.710000 -7.568648     -4.965956	30.437250	-7.068648	-4.465956	30.937250
0.720000 -7.308379     -4.731830	30.003475	-6.808379	-4.231830	30.503475
0.730000 -7.050724     -4.538090	29.551202	-6.550724	-4.038090	30.051202
0.740000 -6.799461     -4.383338	29.085108	-6.299461	-3.883338	29.585108
0.750000 -6.557848     -4.265723	28.609488	-6.057848	-3.765723	29.109488
0.760000 -6.328636     -4.183097	28.128215	-5.828636	-3.683097	28.628215
0.770000 -6.114082     -4.133151	27.644738	-5.614082	-3.633151	28.144738
0.780000 -5.915989     -4.113541	27.162092	-5.415989	-3.613541	27.662092
0.790000 -5.735744     -4.121976	26.682937	-5.235744	-3.621976	27.182937
0.800000 -5.574367     -4.156300	26.209597	-5.074367	-3.656300	26.709597
0.810000 -5.432560     -4.214540	25.744109	-4.932560	-3.714540	26.244109
0.820000 -5.310758     -4.294948	25.288273	-4.810758	-3.794948	25.788273
0.830000 -5.209177     -4.396011	24.843699	-4.709177	-3.896011	25.343699
0.840000 -5.127861     -4.516469	24.411853	-4.627861	-4.016469	24.911853
0.850000 -5.066722     -4.655299	23.994096	-4.566722	-4.155299	24.494096
0.860000 -5.025579     -4.811714	23.591724	-4.525579	-4.311714	24.091724
0.870000 -5.004193     -4.985138	23.206001	-4.504193	-4.485138	23.706001
0.880000 -5.002287     -5.175188	22.838187	-4.502287	-4.675188	23.338187
0.890000 -5.019577     -5.381645	22.489569	-4.519577	-4.881645	22.989569
0.900000 -5.055784     -5.604429	22.161482	-4.555784	-5.104429	22.661482
0.910000 -5.110649     -5.843567	21.855335	-4.610649	-5.343567	22.355335
0.920000 -5.183940     -6.099164	21.572627	-4.683940	-5.599164	22.072627
0.930000 -5.275463     -6.371363	21.314972	-4.775463	-5.871363	21.814972
0.940000 -5.385053     -6.660316	21.084113	-4.885053	-6.160316	21.584113
0.950000 -5.512579     -6.966137	20.881937	-5.012579	-6.466137	21.381937
0.960000 -5.657935     -7.288864	20.710491	-5.157935	-6.788864	21.210491
0.970000 -5.821028     -7.628412	20.571991	-5.321028	-7.128412	21.071991
0.980000 -6.001766     -7.984514	20.468828	-5.501766	-7.484514	20.968828
0.990000 -6.200041     -8.356672	20.403569	-5.700041	-7.856672	20.903569
1.000000 -6.415704     -8.744087	20.378951	-5.915704	-8.244087	20.878951
1.010000 -6.648542     -9.145590	20.397866	-6.148542	-8.645590	20.897866
1.020000 -6.898247     -9.559565	20.463331	-6.398247	-9.059565	20.963331
1.030000 -7.164379     -9.983868	20.578449	-6.664379	-9.483868	21.078449
1.040000 -7.446328     -10.415737	20.746345	-6.946328	-9.915737	21.246345
1.050000 -7.743269     -10.851711	20.970082	-7.243269	-10.351711	21.470082
1.060000 -8.054113     -11.287539	21.252555	-7.554113	-10.787539	21.752555
1.070000 -8.377456     -11.718111	21.596348	-7.877456	-11.218111	22.096348
1.080000 -8.711521     -12.137393	22.003565	-8.211521	-11.637393	22.503565
1.090000 -9.054108     -12.538399	22.475621	-8.554108	-12.038399	22.975621
1.100000 -9.402537     -12.913199	23.013010	-8.902537	-12.413199	23.513010
1.110000 -9.753604     -13.252970	23.615032	-9.253604	-12.752970	24.115032
1.120000 -10.103540     -13.548133	24.279515	-9.603540	-13.048133	24.779515
1.130000 -10.447999     -13.788552	25.002521	-9.947999	-13.288552	25.502521
1.140000 -10.782055     -13.963843	25.778081	-10.282055	-13.463843	26.278081
1.150000 -11.100234     -14.063774	26.597974	-10.600234	-13.563774	27.097974
1.160000 -11.396588     -14.078764	27.451579	-10.896588	-13.578764	27.951579
1.170000 -11.664805     -14.000478	28.325866	-11.164805	-13.500478	28.825866
1.180000 -11.898372     -13.822461	29.205526	-11.398372	-13.322461	29.705526
1.190000 -12.090781     -13.540799	30.073307	-11.590781	-13.040799	30.573307
1.200000 -12.235783     -13.154712	30.910546	-11.735783	-12.654712	31.410546
1.210000 -12.327676     -12.667036	31.697907	-11.827676	-12.167036	32.197907
1.220000 -12.361612     -12.084500	32.416294	-11.861612	-11.584500	32.916294
1.230000 -12.333901     -11.417730	33.047860	-11.833901	-10.917730	33.547860
1.240000 -12.242284     -10.680955	33.577038	-11.742284	-10.180955	34.077038
1.250000 -12.086151     -9.891388	33.991481	-11.586151	-9.391388	34.491481
1.260000 -11.866675     -9.068335	34.282796	-11.366675	-8.568335	34.782796
1.270000 -11.586841     -8.232093	34.446984	-11.086841	-7.732093	34.946984
1.280000 -11.251366     -7.402770	34.484533	-10.751366	-6.902770	34.984533
1.290000 -10.866506     -6.599144	34.400157	-10.366506	-6.099144	34.900157
1.300000 -10.439770     -5.837679	34.202210	-9.939770	-5.337679	34.702210
1.310000 -9.979561     -5.131806	33.901871	-9.479561	-4.631806	34.401871
1.320000 -9.494785     -4.491507	33.512213	-8.994785	-3.991507	34.012213
1.330000 -8.994457     -3.923219	33.047247	-8.494457	-3.423219	33.547247
1.340000 -8.487334     -3.430014	32.521062	-7.987334	-2.930014	33.021062
1.350000 -7.981602     -3.011996	31.947119	-7.481602	-2.511996	32.447119
1.360000 -7.484641     -2.666833	31.337731	-6.984641	-2.166833	31.837731
1.370000 -7.002860     -2.390348	30.703750	-6.502860	-1.890348	31.203750
1.380000 -6.541609     -2.177104	30.054423	-6.041609	-1.677104	30.554423
1.390000 -6.105159     -2.020941	29.397393	-5.605159	-1.520941	29.897393
1.400000 -5.696737     -1.915418	28.738804	-5.196737	-1.415418	29.238804
1.410000 -5.318605     -1.854176	28.083468	-4.818605	-1.354176	28.583468
1.420000 -4.972162     -1.831195	27.435064	-4.472162	-1.331195	27.935064
1.430000 -4.658065     -1.840973	26.796342	-4.158065	-1.340973	27.296342
1.440000 -4.376356     -1.878630	26.169313	-3.876356	-1.378630	26.669313
1.450000 -4.126584     -1.939961	25.555425	-3.626584	-1.439961	26.055425
1.460000 -3.907921     -2.021439	24.955704	-3.407921	-1.521439	25.455704
1.470000 -3.719273     -2.120194	24.370879	-3.219273	-1.620194	24.870879
1.480000 -3.559365     -2.233969	23.801469	-3.059365	-1.733969	24.301469
1.490000 -3.426826     -2.361070	23.247865	-2.926826	-1.861070	23.747865
1.500000 -3.320250     -2.500307	22.710382	-2.820250	-2.000307	23.210382
1.510000 -3.238256     -2.650932	22.189302	-2.738256	-2.150932	22.689302
1.520000 -3.179523     -2.812588	21.684911	-2.679523	-2.312588	22.184911
1.530000 -3.142830     -2.985252	21.197519	-2.642830	-2.485252	21.697519
1.540000 -3.127072     -3.169190	20.727486	-2.627072	-2.669190	21.227486
1.550000 -3.131284     -3.364915	20.275238	-2.631284	-2.864915	20.775238
1.560000 -3.154647     -3.573150	19.841282	-2.654647	-3.073150	20.341282
1.570000 -3.196497     -3.794797	19.426224	-2.696497	-3.294797	19.926224
1.580000 -3.256327     -4.030909	19.030787	-2.756327	-3.530909	19.530787
1.590000 -3.333785     -4.282667	18.655828	-2.833785	-3.782667	19.155828
1.600000 -3.428673     -4.551355	18.302357	-2.928673	-4.051355	18.802357
1.610000 -3.540942     -4.838342	17.971566	-3.040942	-4.338342	18.471566
1.620000 -3.670682     -5.145060	17.664845	-3.170682	-4.645060	18.164845
1.630000 -3.818119     -5.472980	17.383819	-3.318119	-4.972980	17.883819
1.640000 -3.983606     -5.823588	17.130374	-3.483606	-5.323588	17.630374
1.650000 -4.167604     -6.198356	16.906695	-3.667604	-5.698356	17.406695
1.660000 -4.370679     -6.598697	16.715300	-3.870679	-6.098697	17.215300
1.670000 -4.593481     -7.025928	16.559081	-4.093481	-6.525928	17.059081
1.680000 -4.836726     -7.481205	16.441344	-4.336726	-6.981205	16.941344
1.690000 -5.101173     -7.965454	16.365850	-4.601173	-7.465454	16.865850
1.700000 -5.387601     -8.479277	16.336850	-4.887601	-7.979277	16.836850
1.710000 -5.696769     -9.022849	16.359119	-5.196769	-8.522849	16.859119
1.720000 -6.029377     -9.595774	16.437977	-5.529377	-9.095774	16.937977
1.730000 -6.386017     -10.196934	16.579293	-5.886017	-9.696934	17.079293
1.740000 -6.767108     -10.824293	16.789461	-6.267108	-10.324293	17.289461
1.750000 -7.172827     -11.474680	17.075353	-6.672827	-10.974680	17.575353
1.760000 -7.603012     -12.143539	17.444208	-7.103012	-11.643539	17.944208
1.770000 -8.057065     -12.824662	17.903467	-7.557065	-12.324662	18.403467
1.780000 -8.533825     -13.509899	18.460526	-8.033825	-13.009899	18.960526
1.790000 -9.031432     -14.188882	19.122387	-8.531432	-13.688882	19.622387
1.800000 -9.547177     -14.848769	19.895191	-9.047177	-14.348769	20.395191
1.810000 -10.077336     -15.474062	20.783617	-9.577336	-14.974062	21.283617
1.820000 -10.617009     -16.046540	21.790146	-10.117009	-15.546540	22.290146
1.830000 -11.159962     -16.545376	22.914191	-10.659962	-16.045376	23.414191
1.840000 -11.698503     -16.947496	24.151131	-11.198503	-16.447496	24.651131
1.850000 -12.223403     -17.228282	25.491314	-11.723403	-16.728282	25.991314
1.860000 -12.723891     -17.362646	26.919127	-12.223891	-16.862646	27.419127
1.870000 -13.187766     -17.326548	28.412283	-12.687766	-16.826548	28.912283
1.880000 -13.601644     -17.098912	29.941501	-13.101644	-16.598912	30.441501
1.890000 -13.951371     -16.663847	31.470790	-13.451371	-16.163847	31.970790
1.900000 -14.222619     -16.012985	32.958502	-13.722619	-15.512985	33.458502
1.910000 -14.401655     -15.147627	34.359272	-13.901655	-14.647627	34.859272
1.920000 -14.476252     -14.080310	35.626824	-13.976252	-13.580310	36.126824
1.930000 -14.436658     -12.835429	36.717452	-13.936658	-12.335429	37.217452
1.940000 -14.276535     -11.448566	37.593774	-13.776535	-10.948566	38.093774
1.950000 -13.993738     -9.964421	38.228239	-13.493738	-9.464421	38.728239
1.960000 -13.590807     -8.433464	38.605762	-13.090807	-7.933464	39.105762
1.970000 -13.075072     -6.907721	38.725025	-12.575072	-6.407721	39.225025
1.980000 -12.458337     -5.436339	38.598129	-11.958337	-4.936339	39.098129
1.990000 -11.756137     -4.061625	38.248696	-11.256137	-3.561625	38.748696
2.000000 -10.986686     -2.816158	37.708771	-10.486686	-2.316158	38.208771
2.010000 -10.169633     -1.721324	37.015120	-9.669633	-1.221324	37.515120
2.020000 -9.324802     -0.787306	36.205570	-8.824802	-0.287306	36.705570
2.030000 -8.471053     -0.014280	35.315917	-7.971053	0.485720	35.815917
2.040000 -7.625376     0.605598	34.377723	-7.125376	1.105598	34.877723
2.050000 -6.802278     1.085867	33.417097	-6.302278	1.585867	33.917097
2.060000 -6.013464     1.443495	32.454338	-5.513464	1.943495	32.954338
2.070000 -5.267768     1.696920	31.504249	-4.767768	2.196920	32.004249
2.080000 -4.571299     1.864546	30.576846	-4.071299	2.364546	31.076846
2.090000 -3.927715     1.963696	29.678268	-3.427715	2.463696	30.178268
2.100000 -3.338573     2.009977	28.811697	-2.838573	2.509977	29.311697
2.110000 -2.803718     2.016976	27.978202	-2.303718	2.516976	28.478202
2.120000 -2.321649     1.996195	27.177431	-1.821649	2.496195	27.677431
2.130000 -1.889865     1.957136	26.408167	-1.389865	2.457136	26.908167
2.140000 -1.505165     1.907481	25.668723	-1.005165	2.407481	26.168723
2.150000 -1.163900     1.853317	24.957224	-0.663900	2.353317	25.457224
2.160000 -0.862178     1.799369	24.271791	-0.362178	2.299369	24.771791
2.170000 -0.596024     1.749231	23.610647	-0.096024	2.249231	24.110647
2.180000 -0.361498     1.705577	22.972178	0.138502	2.205577	23.472178
2.190000 -0.154791     1.670346	22.354953	0.345209	2.170346	22.854953
2.200000 0.027723     1.644905	21.757726	0.527723	2.144905	22.257726
2.210000 0.189441     1.630186	21.179426	0.689441	2.130186	21.679426
2.220000 0.333516     1.626805	20.619142	0.833516	2.126805	21.119142
2.230000 0.462845     1.635154	20.076098	0.962845	2.135154	20.576098
2.240000 0.580076     1.655477	19.549642	1.080076	2.155477	20.049642
2.250000 0.687616     1.687941	19.039225	1.187616	2.187941	19.539225
2.260000 0.787648     1.732677	18.544388	1.287648	2.232677	19.044388
2.270000 0.882151     1.789828	18.064754	1.382151	2.289828	18.564754
2.280000 0.972919     1.859573	17.600021	1.472919	2.359573	18.100021
2.290000 1.061584     1.942161	17.149953	1.561584	2.442161	17.649953
2.300000 1.149642     2.037922	16.714382	1.649642	2.537922	17.214382
2.310000 1.238470     2.147287	16.293208	1.738470	2.647287	16.793208
2.320000 1.329352     2.270799	15.886402	1.829352	2.770799	16.386402
2.330000 1.423496     2.409123	15.494011	1.923496	2.909123	15.994011
2.340000 1.522059     2.563054	15.116164	2.022059	3.063054	15.616164
2.350000 1.626159     2.733523	14.753085	2.126159	3.233523	15.253085
2.360000 1.736895     2.921604	14.405104	2.236895	3.421604	14.905104
2.370000 1.855366     3.128517	14.072674	2.355366	3.628517	14.572674
2.380000 1.982681     3.355635	13.756386	2.482681	3.855635	14.256386
2.390000 2.119976     3.604484	13.456998	2.619976	4.104484	13.956998
2.400000 2.268427     3.876747	13.175456	2.768427	4.376747	13.675456
2.410000 2.429259     4.174264	12.912930	2.929259	4.674264	13.412930
2.420000 2.603760     4.499025	12.670850	3.103760	4.999025	13.170850
2.430000 2.793286     4.853169	12.450949	3.293286	5.353169	12.950949
2.440000 2.999274     5.238967	12.255316	3.499274	5.738967	12.755316
2.450000 3.223244     5.658803	12.086456	3.723244	6.158803	12.586456
2.460000 3.466800     6.115148	11.947353	3.966800	6.615148	12.447353
2.470000 3.731634     6.610509	11.841554	4.231634	7.110509	12.341554
2.480000 4.019522     7.147378	11.773248	4.519522	7.647378	12.273248
2.490000 4.332307     7.728142	11.747370	4.832307	8.228142	12.247370
2.500000 4.671891     8.354975	11.769697	5.171891	8.854975	12.269697
2.510000 5.040199     9.029687	11.846958	5.540199	9.529687	12.346958
2.520000 5.439148     9.753536	11.986944	5.939148	10.253536	12.486944
2.530000 5.870587     10.526974	12.198600	6.370587	11.026974	12.698600
2.540000 6.336226     11.349339	12.492113	6.836226	11.849339	12.992113
2.550000 6.837537     12.218461	12.878942	7.337537	12.718461	13.378942
2.560000 7.375629     13.130184	13.371804	7.875629	13.630184	13.871804
2.570000 7.951085     14.077804	13.984548	8.451085	14.577804	14.484548
2.580000 8.563757     15.051406	14.731897	9.063757	15.551406	15.231897
2.590000 9.212522     16.037140	15.628994	9.712522	16.537140	16.128994
2.600000 9.894983     17.016450	16.690688	10.394983	17.516450	17.190688
2.610000 10.607130     17.965340	17.930491	11.107130	18.465340	18.430491
2.620000 11.342951     18.853773	19.359147	11.842951	19.353773	19.859147
2.630000 12.094033     19.645363	20.982767	12.594033	20.145363	21.482767
2.640000 12.849166     20.297576	22.800543	13.349166	20.797576	23.300543
2.650000 13.594007     20.762687	24.802117	14.094007	21.262687	25.302117
2.660000 14.310875     20.989780	26.964862	14.810875	21.489780	27.464862
2.670000 14.978766     20.928020	29.251418	15.478766	21.428020	29.751418
2.680000 15.573691     20.531293	31.608090	16.073691	21.031293	32.108090
2.690000 16.069451     19.764067	33.964795	16.569451	20.264067	34.464795
2.700000 16.438913     18.607917	36.237308	16.938913	19.107917	36.737308
2.710000 16.655813     17.067714	38.332335	17.155813	17.567714	38.832335
2.720000 16.697003     15.176102	40.155461	17.197003	15.676102	40.655461
