0.000000 0.000000	2.000000
0.010000 0.020000	1.996000
0.020000 0.039960	1.991808
0.030000 0.059878	1.987425
0.040000 0.079752	1.982852
0.050000 0.099581	1.978089
0.060000 0.119362	1.973139
0.070000 0.139093	1.968002
0.080000 0.158773	1.962679
0.090000 0.178400	1.957173
0.100000 0.197972	1.951484
0.110000 0.217487	1.945614
0.120000 0.236943	1.939565
0.130000 0.256338	1.933339
0.140000 0.275672	1.926937
0.150000 0.294941	1.920361
0.160000 0.314145	1.913613
0.170000 0.333281	1.906696
0.180000 0.352348	1.899611
0.190000 0.371344	1.892361
0.200000 0.390267	1.884948
0.210000 0.409117	1.877373
0.220000 0.427891	1.869641
0.230000 0.446587	1.861752
0.240000 0.465205	1.853709
0.250000 0.483742	1.845516
0.260000 0.502197	1.837174
0.270000 0.520569	1.828686
0.280000 0.538855	1.820055
0.290000 0.557056	1.811283
0.300000 0.575169	1.802374
0.310000 0.593193	1.793329
0.320000 0.611126	1.784153
0.330000 0.628967	1.774846
0.340000 0.646716	1.765414
0.350000 0.664370	1.755857
0.360000 0.681929	1.746180
0.370000 0.699390	1.736384
0.380000 0.716754	1.726474
0.390000 0.734019	1.716452
0.400000 0.751183	1.706320
0.410000 0.768247	1.696083
0.420000 0.785208	1.685742
0.430000 0.802065	1.675301
0.440000 0.818818	1.664762
0.450000 0.835466	1.654129
0.460000 0.852007	1.643405
0.470000 0.868441	1.632592
0.480000 0.884767	1.621694
0.490000 0.900984	1.610712
0.500000 0.917091	1.599652
0.510000 0.933087	1.588514
0.520000 0.948973	1.577302
0.530000 0.964746	1.566020
0.540000 0.980406	1.554668
0.550000 0.995952	1.543252
0.560000 1.011385	1.531773
0.570000 1.026703	1.520233
0.580000 1.041905	1.508637
0.590000 1.056991	1.496986
0.600000 1.071961	1.485283
0.610000 1.086814	1.473531
0.620000 1.101549	1.461733
0.630000 1.116167	1.449890
0.640000 1.130666	1.438006
0.650000 1.145046	1.426083
0.660000 1.159307	1.414124
0.670000 1.173448	1.402130
0.680000 1.187469	1.390105
0.690000 1.201370	1.378051
0.700000 1.215151	1.365969
0.710000 1.228810	1.353863
0.720000 1.242349	1.341734
0.730000 1.255766	1.329585
0.740000 1.269062	1.317418
0.750000 1.282236	1.305235
0.760000 1.295289	1.293038
0.770000 1.308219	1.280829
0.780000 1.321027	1.268610
0.790000 1.333713	1.256384
0.800000 1.346277	1.244151
0.810000 1.358719	1.231913
0.820000 1.371038	1.219673
0.830000 1.383235	1.207433
0.840000 1.395309	1.195193
0.850000 1.407261	1.182957
0.860000 1.419090	1.170724
0.870000 1.430798	1.158498
0.880000 1.442383	1.146278
0.890000 1.453845	1.134068
0.900000 1.465186	1.121868
0.910000 1.476405	1.109680
0.920000 1.487502	1.097505
0.930000 1.498477	1.085345
0.940000 1.509330	1.073201
0.950000 1.520062	1.061073
0.960000 1.530673	1.048964
0.970000 1.541163	1.036874
0.980000 1.551531	1.024805
0.990000 1.561779	1.012757
1.000000 1.571907	1.000732
1.010000 1.581914	0.988730
1.020000 1.591802	0.976753
1.030000 1.601569	0.964802
1.040000 1.611217	0.952877
1.050000 1.620746	0.940980
1.060000 1.630156	0.929110
1.070000 1.639447	0.917270
1.080000 1.648619	0.905459
1.090000 1.657674	0.893678
1.100000 1.666611	0.881928
1.110000 1.675430	0.870210
1.120000 1.684132	0.858525
1.130000 1.692717	0.846872
1.140000 1.701186	0.835252
1.150000 1.709539	0.823667
1.160000 1.717775	0.812115
1.170000 1.725896	0.800599
1.180000 1.733902	0.789118
1.190000 1.741794	0.777672
1.200000 1.749570	0.766263
1.210000 1.757233	0.754890
1.220000 1.764782	0.743553
1.230000 1.772217	0.732254
1.240000 1.779540	0.720991
1.250000 1.786750	0.709766
1.260000 1.793848	0.698579
1.270000 1.800833	0.687430
1.280000 1.807708	0.676318
1.290000 1.814471	0.665245
1.300000 1.821123	0.654210
1.310000 1.827665	0.643213
1.320000 1.834097	0.632255
1.330000 1.840420	0.621335
1.340000 1.846633	0.610453
1.350000 1.852738	0.599611
1.360000 1.858734	0.588806
1.370000 1.864622	0.578040
1.380000 1.870402	0.567313
1.390000 1.876076	0.556624
1.400000 1.881642	0.545973
1.410000 1.887102	0.535360
1.420000 1.892455	0.524785
1.430000 1.897703	0.514249
1.440000 1.902846	0.503750
1.450000 1.907883	0.493289
1.460000 1.912816	0.482865
1.470000 1.917645	0.472478
1.480000 1.922369	0.462129
1.490000 1.926991	0.451816
1.500000 1.931509	0.441540
1.510000 1.935924	0.431301
1.520000 1.940237	0.421097
1.530000 1.944448	0.410930
1.540000 1.948557	0.400798
1.550000 1.952565	0.390701
1.560000 1.956472	0.380640
1.570000 1.960279	0.370613
1.580000 1.963985	0.360621
1.590000 1.967591	0.350663
1.600000 1.971098	0.340738
1.610000 1.974505	0.330848
1.620000 1.977814	0.320990
1.630000 1.981024	0.311165
1.640000 1.984135	0.301372
1.650000 1.987149	0.291611
1.660000 1.990065	0.281883
1.670000 1.992884	0.272185
1.680000 1.995606	0.262518
1.690000 1.998231	0.252882
1.700000 2.000760	0.243276
1.710000 2.003192	0.233700
1.720000 2.005529	0.224152
1.730000 2.007771	0.214634
1.740000 2.009917	0.205145
1.750000 2.011969	0.195683
1.760000 2.013926	0.186249
1.770000 2.015788	0.176843
1.780000 2.017557	0.167463
1.790000 2.019231	0.158109
1.800000 2.020812	0.148782
1.810000 2.022300	0.139480
1.820000 2.023695	0.130203
1.830000 2.024997	0.120951
1.840000 2.026206	0.111723
1.850000 2.027324	0.102519
1.860000 2.028349	0.093338
1.870000 2.029282	0.084180
1.880000 2.030124	0.075044
1.890000 2.030874	0.065930
1.900000 2.031534	0.056838
1.910000 2.032102	0.047767
1.920000 2.032580	0.038717
